"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"barnswallow_association_weighted_1",1.88,1.23948639791336,0.110588235294118,2.02,1.43555436209522,0.118823529411765,0.00673444759485564,0.201123450413223,0.38759309751765,5.66666666666667,0.472779369627507,6.23529411764706,2.99018000638561,1.98529411764706,0.0451900611665308,1.84,1.28349013972664,1.8,1.08796758655199,0.00693911139904195
"geese_association_weighted_2",6.08,3.95298905247404,0.264347826086957,5.22,5.76863440141104,0.22695652173913,0.0386757304564294,0.309483605946249,0.577893770362595,4.6,1,22,0,0.0869565217391304,0.240787088751807,6.48,4.98258190589774,7.32,7.40777308243283,0.0405431117286167
"hens_dominance_weighted_1",11.36,7.45807328623534,0.355,32,0,1,Inf,0,NA,32,1,31,0,1,0.999933893038648,10.22,6.80722905057107,32,0,Inf
"parakeet_dominance_weighted_4",2.76,1.80203966071103,0.145263157894737,19,0,1,Inf,0.147189221763085,0.252407820767196,6.33333333333333,0.661106233538191,11.0526315789474,3.04546446394792,1.89473684210526,0.999933893038648,2.4,1.62882203585591,19,0,Inf
"songbird_association_weighted_1",7.76,8.42387278234075,0.0663247863247863,7.38,11.3782642770848,0.0630769230769231,0.0224431169670326,0.609526394466394,0.940040152984801,15.4285714285714,0.558333025182117,17.5555555555556,13.1571695706604,0.00984899772071621,0.237903804541294,5.58,4.30514642193337,4.58,3.60888925192407,0.0156620265499883
"sparrow_flockmembership_weighted_1",3.94,3.30373937797021,0.127096774193548,5.36,6.05336809603732,0.172903225806452,0.097165788386369,0.429868936890305,1.07610177339438,10.3333333333333,0.706401045068583,13.6129032258065,5.16834866828751,0.190971838017205,0.23606797749979,3.12,2.36159752225964,3,1.95875845725744,0.00907672245945991
"sparrowlyon_flockmembership_weighted_2",2.5,2.15945949397585,0.0925925925925926,2.28,1.70281879151444,0.0844444444444444,0.0155793846953972,0.380685519879659,0.854925751899056,9,0.691068814055637,12.1481481481481,4.41765430015404,2.25356125356125,0.16722496259793,2.94,2.13245092294653,2.36,1.35164299114456,0.0634596302323593
"thornbill_groupmembership_weighted_1",24,14.3114054701351,0.387096774193548,62,0,1,Inf,0.168104778660117,0.22980406234844,15.5,0.757585580912863,37.1290322580645,12.3970962636189,1.74563722897938,0.999933893038648,20.44,11.8030781180684,62,0,Inf
"weaver_social_projection_bipartite_unweighted_6",1.28,0.640153042925945,0.0711111111111111,2.46,1.59348162006011,0.136666666666667,0.302260185468497,0.397506925207756,0.973891966759003,5,0.75,3,1.2833778958395,1.85964912280702,0.0601610637689526,1.32,0.68332918532008,2.28,2.11929907550316,0.315278157439821
"wildbirds_social_projection_bipartite_weighted_1",7.02,8.05970070847572,0.053587786259542,8.6,15.3476714979232,0.0656488549618321,0.0993232942531318,0.676020035926841,0.913239724998021,26.2,0.685667792598437,22.0458015267176,12.5077591889809,0.0563834388024411,0.252227236375665,7.44,5.94930968384448,7.3,4.69150339247801,0.0140588901686973
"ants_proximity_weighted_159",9.76,6.77799561004549,0.278857142857143,8.66,9.46445552408309,0.247428571428571,0.0295953319096135,0.221878857578076,0.457819774331604,17.5,0.863568883610451,27.8857142857143,4.54889403864169,2.46890756302521,0.242592367093672,8.74,6.31425339358244,5.48,3.36391414387272,0.145106337919102
"ants_trophallaxis_weighted_1",1.46,0.705951377177476,0.0486666666666667,2.42,1.667088382021,0.0806666666666667,0.235836196834977,0.452457878975318,0.817301081964086,6,0.142857142857143,2.46666666666667,1.43198279062413,146.360424028269,0.0507211622952008,1.44,0.78662285131064,2.58,1.48585164200226,0.209907126126473
"beetle_proximity_weighted_10",3.18,2.91155334094068,0.106,30,0,1,Inf,0.236312381678209,0.339366809884503,7.5,0.471448796602171,11.8666666666667,3.56934586234753,0.089084868478161,0.999933893038648,2.6,1.76126114370542,30,0,Inf
"asianelephants_dominance_unweighted_1",1.2,0.494871659305394,0.0164383561643836,2.74,1.92523520958996,0.0375342465753425,0.514716336130504,0.50103305785124,0.937140581955923,6.66666666666667,0.0759493670886076,1.64383561643836,1.05895471277758,3.11818181818182,0.0627864227829645,1.26,0.527218345349884,3.96,2.9343844746212,0.732669546957016
