"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","proportional.informed.mean","proportional.informed.sd","proportional.prop_informed","bhs","modularity","avg_module_size","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"sneaker_sexual_unweighted_1",1.82,0.940907074290006,0.0154237288135593,3,2.24062673447973,0.0254237288135593,8.06,2.37684407462964,0.0683050847457627,0.227407163475201,0.438271604938272,3.33333333333333,0.145898033750315,2.22,1.52917211161425,2.58,1.52650059994507,0.00694078884425306
"geese_association_weighted_1",19.94,0.313635691430002,0.997,18.8,4.49489506358636,0.94,20,0,1,1.00309059557441,0.323471177844297,10,0.752437342445878,19.66,2.12478090106981,18.56,4.60771314299873,0.148609846357951
"hens_dominance_weighted_1",32,0,1,32,0,1,32,0,1,NA,0,32,0.999933893038648,32,0,32,0,NA
"junglefowl_sexual_weighted_14",8.86,5.68208786001938,0.402727272727273,1.74,1.00630664373465,0.0790909090909091,22,0,1,0.914986512917043,0.166890203813281,4.4,0.467581968859885,7.82,4.8389997279755,2.06,3.04664418932151,0.305375574803544
"parakeet_dominance_weighted_4",14.8,4.97339862443692,0.778947368421053,9.8,8.36660026534076,0.515789473684211,19,0,1,0.13076474466481,0.147189221763085,6.33333333333333,0.659583251109147,14.56,4.20960999696297,10.34,8.7728942470195,0.171203497158125
"songbird_association_weighted_1",74.4,37.4514651902694,0.635897435897436,75.82,44.5112643390549,0.648034188034188,99.48,29.186410032963,0.85025641025641,0.00756821873856187,0.609526394466394,15.4285714285714,0.798373876248843,104.44,18.4735442385779,108.6,25.3433564131848,0.0289850675248552
"sparrow_flockmembership_weighted_1",20.98,9.11936714596233,0.676774193548387,23.62,10.1878078393454,0.761935483870968,31,0,1,0.0123823452861452,0.429868936890305,10.3333333333333,0.76393202250021,27.08,5.63458706815073,27.8,8.82251294665401,0.0498453941762935
"sparrowlyon_flockmembership_weighted_2",20.2,5.93845991166472,0.748148148148148,23.78,7.69916507532751,0.880740740740741,27,0,1,0.0505606125012691,0.380685519879659,9,0.758712333633214,22.14,5.33379674857432,25.58,5.73599447812332,0.0495409579781811
"thornbill_groupmembership_weighted_1",61.88,0.328260722659316,0.998064516129032,62,0,1,62,0,1,Inf,0.169730022632243,15.5,0.999933893038648,62,0,62,0,NA
"weaver_social_projection_bipartite_unweighted_35",9.02,7.34705272020484,0.214761904761905,3.56,4.8954789638721,0.0847619047619048,39.24,5.37401153701776,0.934285714285714,0.135739347187021,0.449019451530612,10,0.48794285888822,8.26,5.51365651480624,2.88,2.86883322652828,0.287197388638113
"wildbirds_social_projection_bipartite_weighted_5",123.62,32.9284257821384,0.852551724137931,78.48,55.0403340046819,0.541241379310345,145,0,1,0.187097317762178,0.513969637920806,20.7142857142857,0.760816810320923,144.92,0.340467865366085,106.62,54.8905738906127,2.31654346292556
"cuttlefish_sexual_weighted_1",1.7,0.839095723176481,0.0320754716981132,2.3,0.952976004580452,0.0433962264150943,4.18,1.93454102556442,0.0788679245283019,0.0598609924612875,0,1.6,0.276215923688139,2.06,1.25210027635202,2.06,1.44857424626381,0.00529260644351666
"ants_proximity_weighted_224",142.94,0.239897937482095,0.99958041958042,143,0,1,143,0,1,Inf,0.310370852460291,71.5,0.999933893038648,143,0,143,0,NA
"ants_trophallaxis_weighted_5",1.9,1.12938487863156,0.0703703703703704,2.62,1.56348642332397,0.097037037037037,15.34,7.64415209323374,0.568148148148148,0.0608312817006196,0.693464957776679,4,0.256231390633587,1.76,0.822142546853609,2.16,1.37558892768123,0.0790769907150518
"beetle_proximity_weighted_8",22.4,7.38724769934165,0.746666666666667,11.22,13.0200630112272,0.374,30,0,1,0.215776936889645,0.218992493215465,6,0.664901696245566,23.78,6.64336403595992,14.56,13.2990102439763,0.208013338753538
"cricket_fisher_sexual_weighted_2",4.24,3.71736136395214,0.0263354037267081,1.84,0.99713876380658,0.0114285714285714,126.62,42.0742249858897,0.786459627329193,0.443318185520984,0.721974211248285,13.3636363636364,0.278053049771013,3.64,2.69360542843261,1.72,1.0505586463343,0.305255462036183
"cricket_turnell_sexual_weighted_1",7.54,5.50402450160659,0.209444444444444,2.14,2.12861936667016,0.0594444444444444,36,0,1,0.407452532215026,0.3635,7.2,0.439790555673895,7.04,5.45093139392017,2.3,1.63195137982798,0.472842434003774
"waterstrider_sexual_weighted_7",4.22,3.74323880278748,0.066984126984127,2.96,2.10887338139954,0.046984126984127,55.58,13.6741824364794,0.882222222222222,0.0996563610453093,0.594791476962302,7.375,0.381966011250105,3.16,2.68297732881565,2.6,2.02030508910442,0.0268045595207966
"weevil_sexual_unweighted_1",4.1,3.05894472933769,0.178260869565217,1.7,2.23378511015884,0.0739130434782609,21.54,5.03137097395442,0.936521739130435,0.124680799000237,0.317520775623269,4.6,0.18889075730842,3.88,2.8759381787798,1.6,0.832993127835043,0.45822564141183
"asianelephants_dominance_unweighted_1",1.98,1.31692282017046,0.0271232876712329,2.34,1.52006981579727,0.0320547945205479,9.5,7.3796465818811,0.13013698630137,0.0131376206615326,0.503099173553719,5,0.177673979059716,1.62,0.854519795927896,2.06,1.40567363472,0.0774196524803064
"baboon_association_weighted_23",2.82,1.93454102556442,0.134285714285714,1.82,0.825363247180245,0.0866666666666667,19.86,3.72531330006933,0.945714285714286,0.219456546850879,0.441176470588235,3.5,0.140999875791152,3.18,2.34468569757402,2.46,1.77522634371749,0.0340918629906206
"bats_foodsharing_weighted_1",9.48,5.62878897331588,0.451428571428571,8,9.03507902905251,0.380952380952381,21,0,1,0.0588442510418039,0.241138529094257,5.25,0.615826214125872,11.4,5.05076272276105,9.28,8.99442003893162,0.0895625799919292
"bats_roostuse_weighted_1",35.06,12.4021229255811,0.815348837209302,42.18,5.79827560572969,0.980930232558139,43,0,1,0.200038915707048,0.0977833522441107,10.75,0.999933893038648,43,0,43,0,NA
"bison_dominance_weighted_1",24.52,2.87309830628035,0.943076923076923,24.76,5.13713967900744,0.952307692307692,26,0,1,0.080473570915092,0.132544502982194,6.5,0.76585140122571,25.72,0.536047515408392,24.3,5.80376373307768,0.86353236196137
