"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"barnswallow_association_weighted_2",12.28,3.62553303610909,0.72235294117647,12.38,6.80303053717943,0.728235294117647,0.0931472445764863,0.133220424053116,0.206069054728687,4.25,0.921686746987952,14.3529411764706,1.96663343275343,3.33088235294118,0.613467479713918,11.42,4.92013771169475,10.42,7.53248746078869,0.0471258491738313
"geese_association_weighted_2",20.7,4.16128904675129,0.9,19.88,7.24678676154797,0.864347826086956,0.0756900100364366,0.308478358081505,0.445641719466723,4.6,1,22,0,0.0869565217391304,0.671856792996465,21.06,3.19061122670876,19.36,7.85781815279846,0.190424893323028
"hens_dominance_weighted_1",31.26,2.63268311958794,0.976875,19.16,13.4321575758646,0.59875,0.682464018841985,0,NA,32,1,31,0,1,0.623316721511144,31.62,1.12286077789306,19.66,13.6331079601484,1.09622449306544
"parakeet_dominance_weighted_5",8.38,4.23729794533628,0.441052631578947,7.62,7.93568535419697,0.401052631578947,0.0943539479490121,0.161259336397587,0.230552952235758,4.75,0.6,10.4210526315789,3.28829218547805,1.99415204678363,0.539323787232983,9.62,4.56199920371473,7.42,7.43431096954094,0.0732951988188171
"songbird_association_weighted_1",44.12,32.5993864972947,0.377094017094017,46.22,39.9623751617872,0.395042735042735,0.0107114537734979,0.609526394466394,0.940040152984801,15.4285714285714,0.558333025182117,17.5555555555556,13.1571695706604,0.00984899772071621,0.674134080697824,52.78,24.9360733697597,23.58,32.0038836928985,0.144906228526697
"sparrow_flockmembership_weighted_2",24.54,9.04232677298204,0.6135,19.24,17.7126266504193,0.481,0.123161662244012,0.483984603663118,0.89831984548221,10,0.598282442748092,15.25,6.7700320038633,0.04574673585,0.620562765934758,23.38,9.78522417959333,18.52,17.3266810887435,0.0924408360974654
"sparrowlyon_flockmembership_weighted_1",26.06,13.0499980451949,0.566521739130435,22.68,19.719916380168,0.49304347826087,0.0465590659893129,0.464135989710985,0.716770203446169,11.5,0.582477535301669,15.1304347826087,7.64375909746616,2.13816425120773,0.619694187713602,20.46,11.5196548984591,11.9,15.504114003077,0.0708432545019511
"thornbill_groupmembership_weighted_1",59.56,8.32297042735909,0.960645161290323,60.56,7.22851496307703,0.976774193548387,0.00701007848440996,0.16740091991315,0.227993757561955,15.5,0.757585580912863,37.1290322580645,12.3970962636189,1.74563722897938,0.76589972543774,61.42,1.667088382021,61.14,5.93849427765274,0.327057967451672
"weaver_social_projection_bipartite_unweighted_43",4.14,2.66504202210619,0.217894736842105,4.88,4.68884912557964,0.256842105263158,0.080588012369802,0.3892822265625,0.611277085148084,6.33333333333333,0.753731343283582,6.73684210526316,1.96757338598584,2.12865497076023,0.436497729612178,4.64,2.95379382475888,2.76,3.29229155353371,0.0481013521434273
"wildbirds_social_projection_bipartite_weighted_1",44.38,29.3826896144582,0.338778625954198,56.66,38.7343701197196,0.432519083969466,0.0347997732547964,0.676020035926841,0.913239724998021,26.2,0.685667792598437,22.0458015267176,12.5077591889809,0.0563834388024411,0.729714205979991,84.9,29.8036088761213,96.5,51.0686812447867,0.078872962747016
"ants_proximity_weighted_232",117.78,0.41845195759648,0.998135593220339,118,0,1,Inf,0.283926685896975,0.590036914344247,39.3333333333333,0.770380749254006,81.1525423728814,17.5619183572604,2.00434593654933,0.999933893038648,118,0,118,0,NA
