names,genus,species,interaction_type,interactions,population_type
sneaker_sexual_unweighted_1,Serracutisoma,proximum,FE_mating,mating,free-ranging
barnswallow_association_weighted_2,Hirundo,rustica,spatial_proximity,spatial_proximity,free-ranging
cowbird_yokel_sexual_weighted_1,Molothrus,ater,FE_mating,mating,free-ranging
geese_association_weighted_1,Branta,leucopsis,foraging,spatial_proximity,captive
hens_dominance_weighted_1,Gallus,gallus_domesticus,dominance,dominance,captive
junglefowl_sexual_weighted_9,Gallus,gallus,FE_mating,mating,captive
parakeet_dominance_weighted_4,Myiopsitta,monachus,dominance,dominance,captive
songbird_association_weighted_1,Haemorhous,mexicanus,social_projection_bipartite,spatial_proximity,free-ranging
sparrow_flockmembership_weighted_2,Zonotrichia,atricapilla,spatial_proximity,spatial_proximity,free-ranging
sparrowlyon_flockmembership_weighted_2,Zonotrichia,atricapilla,spatial_proximity,spatial_proximity,free-ranging
weaver_social_projection_bipartite_unweighted_38,Philetairus,socius,social_projection_bipartite,spatial_proximity,free-ranging
cuttlefish_sexual_weighted_1,Sepia,apama ,NFE_mating,mating,free-ranging
ants_proximity_weighted_221,Camponotus,fellah,physical_contact,physical_contact,captive
ants_trophallaxis_weighted_6,Camponotus,pennsylvanicus,trophallaxis,physical_contact,captive
beetle_proximity_weighted_7,Bolitotherus,cornutus,spatial_proximity,spatial_proximity,captive
cricket_fisher_sexual_weighted_2,Gryllus,campestris ,FE_mating,mating,free-ranging
cricket_rost_sexual_weighted_1,Gryllus,campestris ,FE_mating,mating,free-ranging
cricket_turnell_sexual_weighted_1,Laupala,cerasina ,FE_mating,mating,captive
waterstrider_sexual_weighted_6,Aquarius,remigis ,FE_mating,mating,captive
weevil_sexual_unweighted_1,Rhynchophorus,ferrugineus ,FE_mating,mating,captive
asianelephants_dominance_unweighted_1,Elephas,maximus,dominance,dominance,free-ranging
ateles_geoffroyi_grooming_weighted_1,Ateles,geoffroyi,grooming,grooming,free-ranging
baboon_association_weighted_11,Papio,cynocephalus,spatial_proximity,spatial_proximity,free-ranging
bats_foodsharing_weighted_1,Desmodus,rotundus,Food_sharing,Food_sharing,captive
bats_roostuse_weighted_1,Myotis,sodalis,social_projection_bipartite,spatial_proximity,free-ranging
bison_dominance_weighted_1,Bison,bison,dominance,dominance,semi-ranging
brachyteles_arachonoides_association_griffin_1,Brachyteles,arachnoides,spatial_proximity,spatial_proximity,free-ranging
cattle_dominance_weighted_1,Bos,taurus,dominance,dominance,semi-ranging
cercopithecus_campbelli_grooming_griffin_1,Cercopithecus,campbelli,grooming,grooming,N/a
dolphin_association_weighted_2,Tursiops,truncatus,spatial_proximity,spatial_proximity,free-ranging
dolphin_proximity_unweighted_1,Tursiops,truncatus,spatial_proximity,spatial_proximity,free-ranging
elephantseal_dominance_weighted_1,Mirounga,angustirostris,dominance,dominance,free-ranging
