"","Network","Transmission_Probability","Time_to_75_percent_infection","Modularity","Avg_Module_Size"
"1","fishstickleback_proximity_weighted_1","0.001",NA,"-4.33680868994202e-17","5"
"2","fishstickleback_proximity_weighted_1","0.005",NA,"-4.33680868994202e-17","5"
"3","fishstickleback_proximity_weighted_1","0.025",NA,"-4.33680868994202e-17","5"
"4","fishstickleback_proximity_weighted_1","0.05",NA,"-4.33680868994202e-17","5"
"5","fishstickleback_proximity_weighted_1","0.075",NA,"-4.33680868994202e-17","5"
"6","fishstickleback_proximity_weighted_1","0.5",NA,"-4.33680868994202e-17","5"
"7","fishstickleback_proximity_weighted_1","1",NA,"-4.33680868994202e-17","5"
"8","fishstickleback_proximity_weighted_2","0.001",NA,"0.0058146434080932","5"
"9","fishstickleback_proximity_weighted_2","0.005",NA,"0.0058146434080932","5"
"10","fishstickleback_proximity_weighted_2","0.025",NA,"0.0058146434080932","5"
"11","fishstickleback_proximity_weighted_2","0.05",NA,"0.0058146434080932","5"
"12","fishstickleback_proximity_weighted_2","0.075",NA,"0.0058146434080932","5"
"13","fishstickleback_proximity_weighted_2","0.5",NA,"0.0058146434080932","5"
"14","fishstickleback_proximity_weighted_2","1",NA,"0.0058146434080932","5"
"15","fishstickleback_proximity_weighted_3","0.001",NA,"0.00049524951452496","5"
"16","fishstickleback_proximity_weighted_3","0.005",NA,"0.00049524951452496","5"
"17","fishstickleback_proximity_weighted_3","0.025",NA,"0.00049524951452496","5"
"18","fishstickleback_proximity_weighted_3","0.05",NA,"0.00049524951452496","5"
"19","fishstickleback_proximity_weighted_3","0.075",NA,"0.00049524951452496","5"
"20","fishstickleback_proximity_weighted_3","0.5",NA,"0.00049524951452496","5"
"21","fishstickleback_proximity_weighted_3","1",NA,"0.00049524951452496","5"
"22","fishstickleback_proximity_weighted_4","0.001",NA,"0.010792012117347","3.33333333333333"
"23","fishstickleback_proximity_weighted_4","0.005",NA,"0.010792012117347","3.33333333333333"
"24","fishstickleback_proximity_weighted_4","0.025",NA,"0.010792012117347","3.33333333333333"
"25","fishstickleback_proximity_weighted_4","0.05",NA,"0.010792012117347","3.33333333333333"
"26","fishstickleback_proximity_weighted_4","0.075",NA,"0.010792012117347","3.33333333333333"
"27","fishstickleback_proximity_weighted_4","0.5",NA,"0.010792012117347","3.33333333333333"
"28","fishstickleback_proximity_weighted_4","1",NA,"0.010792012117347","3.33333333333333"
"29","fishstickleback_proximity_weighted_5","0.001",NA,"0.0534119897959184","5"
"30","fishstickleback_proximity_weighted_5","0.005",NA,"0.0534119897959184","5"
"31","fishstickleback_proximity_weighted_5","0.025",NA,"0.0534119897959184","5"
"32","fishstickleback_proximity_weighted_5","0.05",NA,"0.0534119897959184","5"
"33","fishstickleback_proximity_weighted_5","0.075",NA,"0.0534119897959184","5"
